playlist_uri,owner,streams,stream30s,dau,wau,mau,mau_previous_month,mau_both_months,users,skippers,owner_country,n_tracks,n_local_tracks,n_artists,n_albums,monthly_stream30s,monthly_owner_stream30s,token_1,token_2,token_3,genre_1,genre_2,genre_3,mood_1,mood_2,mood_3,rank,tier,trending,hot,rising,skip,change_rate,trend1
spotify:user:spotify:playlist:6A3BCaAJ8O84lo58qgijvw,spotify,49158,31127,4711,30856,116427,131460,17878,382105,4520,US,26,0,1,1,1020043,0,running,mid,tempo,Alternative,Punk,Indie Rock,Excited,Urgent,Empowering,81,Top 100,4.046312281515456,26.502443591263198,0.4696777160561062,0.0118292092487667,0,-0.41716563532276707
spotify:user:ee45380827a21adcaba956b31f8f2b92:playlist:17LOrq6nH4mkf0Uqnp3waW,ee45380827a21adcaba956b31f8f2b92,1279,900,66,377,981,645,82,1872,29,US,100,0,64,76,21706,13,divas,latinas,playlist,Latin,Pop,Traditional,Empowering,Sophisticated,Excited,754,Top 501-1000,6.727828746177369,38.430173292558614,0.6033210332103321,0.015491452991452992,0,-0.07199082086308989
spotify:user:spotify:playlist:2i0HbrNwqR7TTHFFet80W6,spotify,6448,4979,606,8891,34906,28268,2456,91942,546,US,50,0,47,49,333016,0,sunday,drive,NA,Indie Rock,Alternative,Pop,Brooding,Yearning,Defiant,173,Top 101-500,1.7360912164097864,25.471265684982527,0.5525374362870801,0.00593852646233495,0,-0.714545919209716
spotify:user:6987037f34b5cee787a1a5e8de9b2689:playlist:4ykrONBhOgPr4sMhAVCoPx,6987037f34b5cee787a1a5e8de9b2689,73379,34587,4129,18051,38702,20625,8041,64548,2616,US,76,0,75,71,699432,20,hip,hop,hits,Rap,R&B,Pop,Defiant,Sensual,Energizing,106,Top 101-500,10.66869929202625,46.64100046509224,0.652350531798338,0.040527979178285926,0,0.43529275445685506
spotify:user:spotify:playlist:33hvJK1tU89FmgxSPpTQRy,spotify,1155,878,89,678,3124,2595,346,7930,66,US,38,0,1,1,39733,0,chill,side,bluegrass,Country & Folk,Pop,Rock,Easygoing,Empowering,Sentimental,522,Top 501-1000,2.848911651728553,21.702944942381563,0.54624934429096,0.00832282471626734,0,-0.5712995165304312
spotify:user:8bce21c02f9d4e7118db9e82d27bf9d3:playlist:3HqCLOOJroddvv6pbOQXRg,8bce21c02f9d4e7118db9e82d27bf9d3,2713,1655,113,641,2011,1901,476,4182,60,US,301,0,201,213,53649,21,slow,jams,NA,R&B,Pop,Dance & House,Empowering,Sensual,Sophisticated,457,Top 101-500,5.619094977623073,31.874689209348585,0.5140593047034765,0.014347202295552367,0,-0.21471117253326313
spotify:user:dfc338e7b7431f63e73054bd1b8d4600:playlist:4xTfFpsKUUAS70MEYhdwK0,dfc338e7b7431f63e73054bd1b8d4600,4481,2319,228,1243,3873,4010,1164,9132,161,US,130,4,121,122,85177,5,dance,gym,tracks,Pop,Dance & House,Rap,Excited,Energizing,Aggressive,363,Top 101-500,5.886909372579396,32.09398399173767,0.49131041481669413,0.017630310994305738,0.03076923076923077,-0.18023710336123783
spotify:user:spotify:playlist:2gtr2Tf686zXqjQNiYNPQW,spotify,45122,34907,4177,35644,89800,30471,5695,159292,3125,US,216,0,52,53,1044129,1,autumn,leaves,NA,Indie Rock,Country & Folk,Alternative,Brooding,Sentimental,Melancholy,79,Top 100,4.651447661469933,39.69265033407572,0.7466471551745641,0.019618059915124424,0,-0.33927034911011716
spotify:user:spotify:playlist:2lDJ2xtmpCSN9CO7ZBkIVc,spotify,75984,48012,4101,36510,101083,111176,23059,243211,1817,US,103,0,96,102,2435551,6,morning,commute,NA,Indie Rock,Alternative,Pop,Defiant,Excited,Energizing,37,Top 100,4.057062018341363,36.118833038196335,0.47622480083294466,0.007470879195431128,0,-0.4157818890496146
spotify:user:7bde2c2df962ce9eea77f258eae0c047:playlist:4bMcvBB9aQ60xzoaOTw6iS,7bde2c2df962ce9eea77f258eae0c047,1453,704,71,249,739,743,184,1501,36,US,270,62,200,166,15236,162,fuckwithmeyouknowigotit,NA,NA,Rap,R&B,Pop,Defiant,Energizing,Cool,971,Top 501-1000,9.607577807848443,33.69418132611637,0.49865047233468285,0.023984010659560292,0.22962962962962963,0.2987012338575469
spotify:user:88d3e74e0163badc9ebb49310e256bbe:playlist:13xn9Bfjr0qR89vFRG5CE2,88d3e74e0163badc9ebb49310e256bbe,2487,1919,259,8209,8209,0,0,9571,133,US,5,0,2,5,78796,1,art,offical,age,Rock,R&B,Alternative,Sensual,Energizing,Rowdy,373,Top 101-500,3.1550736995980024,100,1,0.013896144603489709,0,-0.531889194251744
spotify:user:spotify:playlist:63UdjnaWDFp0VNrwQ28qUw,spotify,32126,23056,2409,9783,32611,24051,3415,77763,1766,US,214,0,101,103,490157,0,dinner,party,NA,Dance & House,Electronica,Pop,Excited,Sensual,Energizing,136,Top 101-500,7.3870779798227595,29.999080065008737,0.5755356323461932,0.022710029191260625,0,0.012870202705125375
spotify:user:cb305f632c793f009882083e9e75f5b0:playlist:3ckau7CzXJzdTbR2ngbia3,cb305f632c793f009882083e9e75f5b0,7262,2632,316,1562,5770,13189,1247,24648,263,US,106,0,89,99,85922,1,best,NA,NA,Pop,Rap,Indie Rock,Excited,Defiant,Empowering,361,Top 101-500,5.476603119584055,27.071057192374347,0.30434094625243946,0.01067023693605972,0,-0.23305325668930194
spotify:user:52b3b82b074460a94e1ced626abd75d1:playlist:3IMytPS9eKTLYn9NRTqWwp,52b3b82b074460a94e1ced626abd75d1,28021,12936,1524,9893,21679,11916,1595,45727,1395,US,238,0,209,220,272147,27,happy,songs,NA,Pop,Rock,Country & Folk,Excited,Energizing,Rowdy,194,Top 101-500,7.02984455002537,45.6340237095807,0.6453043607679714,0.030507140201631422,0,-0.03311421860054607
spotify:user:633b0c5bb4cc21130a44f98c841f8f4f:playlist:1YtPhwvERTQcaGRbJkITkU,633b0c5bb4cc21130a44f98c841f8f4f,776,553,19,99,306,306,62,664,7,US,180,0,28,12,14751,0,mass,effect,soundtracks,Soundtrack,Pop,Indie Rock,Serious,Romantic,Somber,994,Top 501-1000,6.209150326797386,32.35294117647059,0.5,0.010542168674698794,0,-0.13875704420466362
spotify:user:6987037f34b5cee787a1a5e8de9b2689:playlist:4noDy1IQejcxDbTLvzuWhS,6987037f34b5cee787a1a5e8de9b2689,37041,18902,2101,10577,24056,21684,6479,50912,1358,US,76,0,72,71,509499,24,shake,updated,taylor,Pop,Dance & House,R&B,Excited,Defiant,Energizing,133,Top 101-500,8.7337878284004,43.96824077153309,0.5259291648447748,0.026673475801382778,0,0.18622372420677896
spotify:user:spotify:playlist:0i0KOEPUK7pA1A5A29ulk4,spotify,217215,171930,14768,63149,189297,161926,24220,425719,7335,US,65,0,60,63,3196805,7,hanging,relaxing,NA,Pop,Indie Rock,Rock,Yearning,Excited,Empowering,26,Top 100,7.801497118285022,33.359746852829154,0.5389652727754162,0.017229674973397946,0,0.06621578201160418
spotify:user:e60d19313a8df36c7e6cf59e259e0d66:playlist:3Irogru6vgG5fRaegdGhcj,e60d19313a8df36c7e6cf59e259e0d66,9051,3711,567,2931,9213,10643,1222,29941,669,US,144,0,116,125,86866,2,ultimate,summer,playlist,Pop,R&B,Rap,Excited,Energizing,Sensual,357,Top 101-500,6.15434711820254,31.81374145229567,0.4639907332796132,0.02234394308807321,0,-0.1458115178981175
spotify:user:6d19d46f5ec7572e19b8a051d64cdd87:playlist:5PTtargqXka1jD3fBzxngJ,6d19d46f5ec7572e19b8a051d64cdd87,723,593,63,320,967,850,222,1745,16,US,22,0,9,5,19790,0,begin,ost,NA,Pop,Soundtrack,-,Yearning,Urgent,Upbeat,808,Top 501-1000,6.514994829369184,33.092037228541884,0.5321959273527793,0.009169054441260744,0,-0.09938759754268202
spotify:user:24d7b261e214b95a4a5ce1b9eae43ba6:playlist:2Q1KqYzb7PfjXCQlf67r6M,24d7b261e214b95a4a5ce1b9eae43ba6,799,546,51,194,628,757,249,1541,37,US,50,0,25,25,15797,58,hollister,vibe,playlist,Pop,Dance & House,Indie Rock,Excited,Yearning,Energizing,942,Top 501-1000,8.121019108280255,30.89171974522293,0.45342960288808665,0.024010382868267358,0,0.10734584593843399
spotify:user:spotify:playlist:2acIN1rzxwLr94iGdaLIUg,spotify,1342,959,114,702,2543,3959,311,9758,107,US,34,0,34,34,27256,0,honky,tonk,revolution,Country & Folk,Rock,Alternative,Rowdy,Empowering,Upbeat,658,Top 501-1000,4.482894219425875,27.60519071962249,0.39111042756075054,0.010965361754457881,0,-0.3609671776960394
spotify:user:spotify:playlist:6NCfeirBIrZfYcs9kwnS3x,spotify,73709,61530,5799,29194,61501,25276,5016,106894,3435,US,82,0,76,79,901956,12,autumn,acoustics,NA,Indie Rock,Country & Folk,Rock,Melancholy,Gritty,Empowering,92,Top 100,9.429114973740264,47.46914684314076,0.7087246620648329,0.03213463805265029,0,0.27572883131479176
spotify:user:spotify:playlist:1Qb9ANyRSw5YYYRcHH75cf,spotify,953,457,87,471,4417,7489,374,20977,88,US,52,0,50,51,26080,6,spotify,underground,NA,Dance & House,Electronica,Indie Rock,Excited,Aggressive,Energizing,675,Top 501-1000,1.9696626669685307,10.663346162553768,0.37098941710062155,0.004195070791819612,0,-0.6844797297336587
spotify:user:a19ebea5b5c28f3eff7f45167f7f3b1c:playlist:4NcaOmQgQ7z8Xk7ckkU8at,a19ebea5b5c28f3eff7f45167f7f3b1c,1060,738,77,366,1065,1081,267,2630,41,US,90,0,83,82,31221,0,edm,vocal,mixes,Dance & House,Electronica,Pop,Excited,Aggressive,Energizing,599,Top 501-1000,7.230046948356808,34.36619718309859,0.4962721342031687,0.0155893536121673,0,-0.0073434181564215285
spotify:user:a1370b790613febd3c0cfc6a5e5e2bf5:playlist:6tp8suUPiBKebCHkAibSD2,a1370b790613febd3c0cfc6a5e5e2bf5,1029,909,60,262,855,804,156,1571,10,US,54,0,37,13,21040,4,yeny,rivera,NA,Latin,-,-,Sophisticated,Easygoing,Romantic,771,Top 501-1000,7.017543859649122,30.643274853801174,0.515370705244123,0.006365372374283896,0,-0.034697609407315734
spotify:user:dc3bdd3ea9a21cddc050e8b1c7240c63:playlist:3I5PiqsI5OQh83gbG6PRJH,dc3bdd3ea9a21cddc050e8b1c7240c63,86821,49962,2629,10160,28020,22036,5535,69034,1662,US,790,57,552,574,1351295,1,ultimate,playlist,NA,Dance & House,Electronica,Rap,Excited,Defiant,Energizing,65,Top 100,9.38258386866524,36.25981441827266,0.5597730541793191,0.024075093432221802,0.07215189873417721,0.2697391736816807
spotify:user:spotify:playlist:2R6xBIkSYaiyf4XjwpvUb5,spotify,16860,12263,1198,6134,20317,18584,4055,55132,813,US,62,0,46,49,334964,0,electro,swing,NA,Electronica,Dance & House,Rap,Defiant,Energizing,Excited,172,Top 101-500,5.896539843480829,30.19146527538514,0.5222744916583121,0.014746426757599941,0,-0.17899743317820185
spotify:user:491a4f24d9e371095364cff4f59981a5:playlist:5CZ3KO3EExplZOzHDMzgym,491a4f24d9e371095364cff4f59981a5,26541,10230,1559,9063,21765,12482,2673,46873,1570,US,523,0,493,372,244893,84,current,jams,NA,Rap,R&B,Pop,Defiant,Cool,Energizing,205,Top 101-500,7.162876177348955,41.64024810475534,0.6355301194265192,0.03349476244319757,0,-0.015989890674975468
spotify:user:spotify:playlist:2z6qt0uR8lplohsEHYs1LS,spotify,3484,1804,336,1805,2579,1089,90,5888,362,US,103,0,103,103,16149,0,,NA,NA,Indie Rock,Alternative,Rock,Brooding,Yearning,Melancholy,923,Top 501-1000,13.028305544784798,69.98836758433501,0.7031079607415486,0.06148097826086957,0,0.7390300841459776
spotify:user:34e4ae3e49761ddff9d594f68c863706:playlist:3J84J3LjFU6nURoZoIMQk2,34e4ae3e49761ddff9d594f68c863706,7525,5018,486,3689,9083,5762,664,18413,294,US,558,0,268,317,143335,176,indie,NA,NA,Indie Rock,Pop,Alternative,Yearning,Empowering,Sophisticated,282,Top 101-500,5.350655069910823,40.61433447098976,0.6118558437184237,0.01596697985119209,0,-0.24926576004344322
spotify:user:7b8c65649c208712d26066dc9358abb5:playlist:0GLmc6eZvxsbulbi5qKNg4,7b8c65649c208712d26066dc9358abb5,756,426,60,242,708,770,231,1758,42,US,384,0,169,176,15732,1,avicii,hey,brother,Dance & House,Pop,Electronica,Excited,Aggressive,Energizing,944,Top 501-1000,8.47457627118644,34.18079096045198,0.4790257104194858,0.023890784982935155,0,0.15285704443947282
